,2014,2015,2016,2017,2018,2019
Fuelwood,"4,623","4,596","4,472","4,465","4,458","4,454"
Charcoal,"1,107","1,138","1,193","1,236","1,281","1,329"
Agriwaste,992,982,967,968,958,947
Bagasse,540,627,780,899,942,919
Ricehull,55,55,56,57,58,58
Animal Waste,20,21,21,21,21,22
Municipal Waste,19,11,5,6,6,7
Total,"7,356","7,431","7,494","7,651","7,725","7,736"
,2020,2021,2022,2023,2024,AAGR*
Fuelwood,"4,421","4,439","4,449","4,450","4,459",-0.4%
Charcoal,"1,364","1,420","1,476","1,531","1,592",3.7%
Agriwaste,836,837,831,824,819,-1.9%
Bagasse,877,959,908,947,961,5.9%
Ricehull,43,44,44,44,44,-2.1%
Animal Waste,16,17,17,17,17,-1.9%
Municipal Waste,5,4,7,5,7,-9.8%
Total,"7,563","7,721","7,731","7,819","7,899",0.7%
*average annual growth rate (AAGR),,,,,,
